	coach	race	mu	phi	value
166062	phyrloki	Nurgle's Rotters	1392.75	203.309	884.4775
133265	RustySeabutter	Goblins	1294.534	164.036	884.4440000000001
189322	Kool	Vampires	1347.109	185.069	884.4365
205100	THE_PINEAPPLE	Chaos Pact	1346.322	184.771	884.3944999999999
37702	tomtom04	Norse	1273.419	155.615	884.3815000000001
100785	maryan	Halflings	1378.356	197.609	884.3335
997	Cmd_Crow	Wood Elves	1324.915	176.245	884.3025
7193	Lucy	Wood Elves	1369.999	194.291	884.2715000000001
59191	kwalis	Dwarves	1223.322	135.636	884.232
64794	Doombeard_Dave	Chaos Dwarves	1208.627	129.771	884.1995
32308	da_dude	Orc	1425.759	216.645	884.1465
114534	Milsi	Amazons	1344.088	183.98	884.1379999999999
13740	Djaal	Humans	1428.709	217.876	884.019
1467	Nagash	Wood Elves	1343.15	183.659	884.0025
115682	Flupper	Amazons	1381.06	198.838	883.9649999999999
127718	SparkyDave	Goblins	1294.573	164.244	883.9630000000001
75989	Wekko	Lizardmen	1396.598	205.07	883.923
104133	drako	Halflings	1210.579	130.695	883.8415
59633	Rancio	Dwarves	1290.006	162.469	883.8335000000001
130271	txapo	Goblins	1276.416	157.038	883.8209999999999
159144	hungdonkeyman	Khemri	1229.161	138.163	883.7535
179091	sonny	Ogres	1345.028	184.53	883.703
40938	Tanin	Norse	1318.915	174.092	883.685
127377	JosefvonBauren	Goblins	1371.954	195.327	883.6365
118544	Kostek	Chaos	1361.183	191.033	883.6005
23236	Lpasto	Undead	1227.907	137.724	883.597
43726	MilitaryThug	Norse	1240.087	142.602	883.582
51010	Shadowblade	Skaven	1220.228	134.687	883.5105000000001
184525	Markus	Vampires	1387.485	201.591	883.5074999999999
78687	Nachoc	Lizardmen	1355.655	188.88	883.4549999999999
122933	Juzzo	Chaos	1412.017	211.429	883.4445000000001
62077	Levantinista	Dwarves	1410.234	210.723	883.4264999999999
100048	CoachRattenfetza	Halflings	1298.374	165.982	883.4190000000001
179508	Tado	Ogres	1297.062	165.473	883.3794999999999
59881	psicoh	Dwarves	1341.761	183.356	883.371
5093	Def	Wood Elves	1389.866	202.598	883.371
79075	rewired	Lizardmen	1248.138	145.908	883.3679999999999
52396	Esrik	Skaven	1379.872	198.607	883.3545000000001
173935	rfalcon	Ogres	1255.251	148.778	883.306
217471	KCRybuck	Underworld	1221.402	135.252	883.272
82998	Eklaan	Dark Elves	1662.309	311.615	883.2715
68362	coach_sommairius	Chaos Dwarves	1662.309	311.615	883.2715
36249	CyberJoker	Orc	1320.255	174.821	883.2025000000001
54142	copemon	Skaven	1344.863	184.67	883.1880000000001
16021	Greedo	Humans	1436.58	221.395	883.0924999999999
76484	Kiiwii	Lizardmen	1379.005	198.396	883.0150000000001
57806	Bjorn9486	Dwarves	1439.863	222.746	882.998
88876	wageslave2006	Dark Elves	1368.204	194.09	882.9789999999999
145029	hazard	Necromantic	1336.856	181.552	882.976
20128	PowerTurtle	Undead	1410.558	211.052	882.928
69450	Casper1	Chaos Dwarves	1391.838	203.612	882.808
127391	Artza	Goblins	1290.827	163.224	882.767
123827	Sasser	Chaos	1215.597	133.134	882.762
206888	Paez	Chaos Pact	1319.224	174.591	882.7465
31359	draude	Orc	1455.091	228.956	882.7009999999999
119805	RobStac	Chaos	1306.02	169.359	882.6225
16589	JuiceboxJnr	Humans	1264.919	152.929	882.5965000000001
17945	Shipley_Dancing_Man	Humans	1291.777	163.682	882.5720000000001
157323	chobinator	Khemri	1263.571	152.403	882.5635
54727	ruben_mboma	Dwarves	1340.564	183.207	882.5465000000002
29337	WalkingCoffin	Orc	1379.25	198.683	882.5425
15717	Guigui	Humans	1316.748	173.687	882.5305000000001
173535	Enderman	Ogres	1294.391	164.753	882.5085000000001
53848	isismoon	Skaven	1252.589	148.051	882.4615
15960	C71280raiders	Humans	1458.595	230.47	882.4200000000001
28475	thomasw	Orc	1260.674	151.332	882.344
1751	vcg	Wood Elves	1414.271	212.78	882.3209999999999
42790	Gesmachiene	Norse	1345.061	185.102	882.3059999999999
104165	Hubenator	Halflings	1329.055	178.72	882.2550000000001
34465	rew	Orc	1300.82	167.46	882.1699999999998
38803	Busso	Norse	1287.684	162.22	882.134
47561	mastermind42	Skaven	1363.444	192.53	882.1189999999999
145377	Aberrant	Elves	1289.849	163.111	882.0715
48110	flyingdingle	Skaven	1500.0	247.176	882.0600000000001
149084	absent	Elves	1500.0	247.176	882.0600000000001
119020	thedragon	Chaos	1500.0	247.176	882.0600000000001
